mechanism,split,score_thr,metric,score_min_exportado,TP,FP,FN,precision,recall,f1
dense_baseline,field_work,0.8,IoU,0.2502502501010895,380,13,1391,96.69211195928752,21.45680406549972,35.12014787430683
dense_baseline,field_work,0.9,IoU,0.2502502501010895,116,1,1655,99.14529914529916,6.549971767363072,12.28813559322034
dense_baseline,field_work,0.01,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.05,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.1,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.15,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.2,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.25,S-IoU,0.2502502501010895,1311,356,375,78.64427114577084,77.75800711743773,78.19862809424396
dense_baseline,field_work,0.3,S-IoU,0.2502502501010895,1226,289,437,80.92409240924093,73.72218881539386,77.15544367526745
dense_baseline,field_work,0.35,S-IoU,0.2502502501010895,1148,251,502,82.05861329521088,69.57575757575758,75.30337815677271
dense_baseline,field_work,0.4,S-IoU,0.2502502501010895,1086,196,549,84.71138845553821,66.42201834862385,74.46006170723348
dense_baseline,field_work,0.45,S-IoU,0.2502502501010895,1001,168,632,85.62874251497006,61.29822412737293,71.44896502498216
dense_baseline,field_work,0.5,S-IoU,0.2502502501010895,931,140,708,86.9281045751634,56.80292861500915,68.70848708487085
dense_baseline,field_work,0.55,S-IoU,0.2502502501010895,852,106,799,88.93528183716074,51.60508782556027,65.3123802223074
dense_baseline,field_work,0.6,S-IoU,0.2502502501010895,765,76,899,90.96313912009512,45.97355769230769,61.07784431137725
dense_baseline,field_work,0.7,S-IoU,0.2502502501010895,579,45,1131,92.78846153846156,33.85964912280702,49.61439588688946
dense_baseline,field_work,0.8,S-IoU,0.2502502501010895,371,22,1376,94.40203562340967,21.23640526617058,34.67289719626168
dense_baseline,field_work,0.9,S-IoU,0.2502502501010895,115,2,1652,98.29059829059828,6.508205998868139,12.208067940552018
dense_baseline,test,0.01,IoU,0.0010002033086493,671,1952,19,25.58139534883721,97.2463768115942,40.50709326894054
dense_baseline,test,0.05,IoU,0.0010002033086493,656,800,34,45.05494505494506,95.07246376811594,61.136999068033546
dense_baseline,test,0.1,IoU,0.0010002033086493,645,511,45,55.79584775086506,93.47826086956522,69.88082340195015
dense_baseline,test,0.15,IoU,0.0010002033086493,636,390,54,61.98830409356725,92.17391304347828,74.12587412587413
dense_baseline,test,0.2,IoU,0.0010002033086493,629,309,61,67.05756929637526,91.15942028985508,77.27272727272727
dense_baseline,test,0.25,IoU,0.0010002033086493,621,252,69,71.1340206185567,90.0,79.46257197696738
dense_baseline,test,0.3,IoU,0.0010002033086493,611,205,79,74.87745098039215,88.55072463768116,81.14209827357237
dense_baseline,test,0.35,IoU,0.0010002033086493,601,166,89,78.35723598435462,87.10144927536231,82.49828414550447
dense_baseline,test,0.4,IoU,0.0010002033086493,591,134,99,81.51724137931035,85.65217391304348,83.53356890459365
dense_baseline,test,0.45,IoU,0.0010002033086493,572,109,118,83.99412628487518,82.89855072463767,83.44274252370532
dense_baseline,test,0.5,IoU,0.0010002033086493,556,79,134,87.55905511811024,80.57971014492755,83.92452830188681
dense_baseline,test,0.55,IoU,0.0010002033086493,539,56,151,90.58823529411764,78.1159420289855,83.89105058365759
dense_baseline,test,0.6,IoU,0.0010002033086493,504,36,186,93.33333333333331,73.04347826086956,81.95121951219512
dense_baseline,test,0.7,IoU,0.0010002033086493,432,11,258,97.51693002257336,62.60869565217392,76.25772285966461
dense_baseline,test,0.8,IoU,0.0010002033086493,314,5,376,98.43260188087774,45.5072463768116,62.2398414271556
dense_baseline,test,0.9,IoU,0.0010002033086493,149,1,541,99.33333333333331,21.594202898550723,35.476190476190474
dense_baseline,test,0.01,S-IoU,0.0010002033086493,850,1773,3,32.40564239420511,99.64830011723328,48.90678941311853
dense_baseline,test,0.05,S-IoU,0.0010002033086493,740,716,9,50.82417582417583,98.79839786381842,67.12018140589569
dense_baseline,test,0.1,S-IoU,0.0010002033086493,696,460,13,60.207612456747405,98.16643159379409,74.63806970509383
dense_baseline,test,0.15,S-IoU,0.0010002033086493,673,353,21,65.59454191033139,96.97406340057636,78.25581395348837
dense_baseline,test,0.2,S-IoU,0.0010002033086493,658,280,26,70.1492537313433,96.19883040935672,81.13440197287301
dense_baseline,test,0.25,S-IoU,0.0010002033086493,643,230,32,73.6540664375716,95.25925925925924,83.07493540051681
dense_baseline,test,0.3,S-IoU,0.0010002033086493,625,191,40,76.59313725490196,93.98496240601504,84.40243079000675
dense_baseline,test,0.35,S-IoU,0.0010002033086493,607,160,54,79.13950456323337,91.83055975794252,85.0140056022409
dense_baseline,test,0.4,S-IoU,0.0010002033086493,591,134,64,81.51724137931035,90.22900763358778,85.65217391304348
dense_baseline,test,0.45,S-IoU,0.0010002033086493,576,105,80,84.58149779735683,87.8048780487805,86.16305160807778
dense_baseline,test,0.5,S-IoU,0.0010002033086493,558,77,102,87.8740157480315,84.54545454545455,86.1776061776062
dense_baseline,test,0.55,S-IoU,0.0010002033086493,539,56,119,90.58823529411764,81.91489361702128,86.03351955307264
dense_baseline,test,0.6,S-IoU,0.0010002033086493,503,37,154,93.14814814814817,76.56012176560122,84.04344193817877
dense_baseline,test,0.7,S-IoU,0.0010002033086493,424,19,240,95.71106094808128,63.85542168674698,76.60343270099366
dense_baseline,test,0.8,S-IoU,0.0010002033086493,307,12,365,96.23824451410658,45.68452380952381,61.957618567103935
dense_baseline,test,0.9,S-IoU,0.0010002033086493,147,3,540,98.0,21.397379912663755,35.12544802867384
expert_E_large_solo,field_work,0.01,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.05,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.1,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.15,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.2,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.25,IoU,0.2514644861221313,385,62,1386,86.12975391498881,21.73913043478261,34.71596032461677
expert_E_large_solo,field_work,0.3,IoU,0.2514644861221313,370,50,1401,88.09523809523809,20.89215132693393,33.77453217708808
expert_E_large_solo,field_work,0.35,IoU,0.2514644861221313,353,42,1418,89.36708860759494,19.932241671372104,32.59464450600185
expert_E_large_solo,field_work,0.4,IoU,0.2514644861221313,338,38,1433,89.8936170212766,19.085262563523436,31.48579413134606
expert_E_large_solo,field_work,0.45,IoU,0.2514644861221313,324,32,1447,91.01123595505618,18.29474872953134,30.46544428772919
expert_E_large_solo,field_work,0.5,IoU,0.2514644861221313,305,24,1466,92.70516717325228,17.221908526256353,29.047619047619044
expert_E_large_solo,field_work,0.55,IoU,0.2514644861221313,290,17,1481,94.46254071661238,16.37492941840768,27.911453320500485
expert_E_large_solo,field_work,0.6,IoU,0.2514644861221313,265,14,1506,94.9820788530466,14.963297571993223,25.85365853658537
expert_E_large_solo,field_work,0.7,IoU,0.2514644861221313,226,8,1545,96.58119658119658,12.761151891586676,22.54364089775561
expert_E_large_solo,field_work,0.8,IoU,0.2514644861221313,162,4,1609,97.59036144578312,9.14737436476567,16.726897263810017
expert_E_large_solo,field_work,0.9,IoU,0.2514644861221313,64,0,1707,100.0,3.613777526821005,6.975476839237056
expert_E_large_solo,field_work,0.01,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
expert_E_large_solo,field_work,0.05,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
expert_E_large_solo,field_work,0.1,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
expert_E_large_solo,field_work,0.15,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
expert_E_large_solo,field_work,0.2,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
expert_E_large_solo,field_work,0.25,S-IoU,0.2514644861221313,406,41,1244,90.82774049217002,24.60606060606061,38.72198378636146
