experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,@75,IoU,532,322,158,62.295081967213115,77.10144927536233,68.9119170984456,0.8914093841169808,0.6444833296237106
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,@75,S-IoU,453,401,46,53.04449648711944,90.78156312625251,66.96230598669624,0.8914093841169808,0.6444833296237106
juniperus_btm_homogeneous_20260824_103026,field_work,dense_baseline,@50,IoU,1155,332,616,77.67316745124411,65.21739130434783,70.902394106814,0.6155389356429917,0.3610776349294251
juniperus_btm_homogeneous_20260824_103026,field_work,dense_baseline,@50,S-IoU,927,560,418,62.34028244788165,68.92193308550186,65.46610169491525,0.6155389356429917,0.3610776349294251
juniperus_btm_homogeneous_20260824_103026,field_work,dense_baseline,@75,IoU,793,694,978,53.328850033624754,44.776962168266515,48.68017188459177,0.6155389356429917,0.3610776349294251
juniperus_btm_homogeneous_20260824_103026,field_work,dense_baseline,@75,S-IoU,704,783,544,47.34364492266308,56.41025641025641,51.480804387568554,0.6155389356429917,0.3610776349294251
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E1_scale_solo,@50,IoU,1142,312,629,78.54195323246216,64.48334274421231,70.8217054263566,0.6029634256237664,0.35424562307304963
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E1_scale_solo,@50,S-IoU,915,539,406,62.92984869325997,69.26570779712338,65.94594594594595,0.6029634256237664,0.35424562307304963
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E1_scale_solo,@75,IoU,790,664,981,54.33287482806052,44.60756634669678,48.9922480620155,0.6029634256237664,0.35424562307304963
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E1_scale_solo,@75,S-IoU,675,779,565,46.42365887207703,54.43548387096774,50.11135857461024,0.6029634256237664,0.35424562307304963
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E2_illum_solo,@50,IoU,1144,275,627,80.62015503875969,64.59627329192547,71.72413793103448,0.6108830489816067,0.369478356989785
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E2_illum_solo,@50,S-IoU,900,519,449,63.424947145877375,66.71608598962194,65.02890173410405,0.6108830489816067,0.369478356989785
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E2_illum_solo,@75,IoU,822,597,949,57.928118393234676,46.41445511010728,51.53605015673982,0.6108830489816067,0.369478356989785
