experiment,mechanism,split,overlap,score_thr,metric,score_min,TP,FP,FN,precision,recall,f1
distilled,destilado,field_work,50,0.25,IoU,0.05001379922032356,1182,540,589,68.6411149825784,66.74195369847544,67.67821356999714
distilled,destilado,field_work,50,0.25,S-IoU,0.05001379922032356,1218,504,419,70.73170731707317,74.40439828955407,72.52158380470377
distilled,destilado,field_work,50,0.3,IoU,0.05001379922032356,1151,462,620,71.35771853688779,64.99153020892152,68.02600472813238
distilled,destilado,field_work,50,0.3,S-IoU,0.05001379922032356,1180,433,458,73.15561066336019,72.03907203907204,72.59304829283298
distilled,destilado,field_work,50,0.35,IoU,0.05001379922032356,1116,393,655,73.95626242544732,63.015245623941276,68.04878048780488
distilled,destilado,field_work,50,0.35,S-IoU,0.05001379922032356,1136,373,501,75.28164347249835,69.39523518631643,72.21869040050858
distilled,destilado,field_work,50,0.4,IoU,0.05001379922032356,1080,340,691,76.05633802816901,60.98249576510446,67.69037919147603
distilled,destilado,field_work,50,0.4,S-IoU,0.05001379922032356,1093,327,541,76.97183098591549,66.89106487148103,71.57825802226589
distilled,destilado,field_work,50,0.45,IoU,0.05001379922032356,1044,279,727,78.91156462585033,58.94974590626765,67.48545572074984
distilled,destilado,field_work,50,0.45,S-IoU,0.05001379922032356,1043,280,588,78.83597883597884,63.94849785407726,70.61611374407583
distilled,destilado,field_work,50,0.5,IoU,0.05001379922032356,1000,236,771,80.90614886731392,56.4652738565782,66.51147322913202
distilled,destilado,field_work,50,0.5,S-IoU,0.05001379922032356,991,245,644,80.1779935275081,60.61162079510704,69.03517938000697
distilled,destilado,field_work,50,0.55,IoU,0.05001379922032356,952,185,819,83.72911169744943,53.75494071146245,65.47455295735901
distilled,destilado,field_work,50,0.55,S-IoU,0.05001379922032356,939,198,703,82.58575197889182,57.1863580998782,67.57826556315221
distilled,destilado,field_work,50,0.6,IoU,0.05001379922032356,891,148,880,85.75553416746871,50.31055900621118,63.416370106761555
distilled,destilado,field_work,50,0.6,S-IoU,0.05001379922032356,877,162,778,84.40808469682388,52.990936555891246,65.10764662212326
distilled,destilado,field_work,50,0.65,IoU,0.05001379922032356,808,105,963,88.49945235487404,45.62394127611519,60.2086438152012
distilled,destilado,field_work,50,0.65,S-IoU,0.05001379922032356,793,120,877,86.8565169769989,47.48502994011976,61.401471157568736
distilled,destilado,field_work,50,0.7,IoU,0.05001379922032356,729,72,1042,91.01123595505618,41.16318464144551,56.68740279937792
distilled,destilado,field_work,50,0.7,S-IoU,0.05001379922032356,710,91,967,88.63920099875156,42.33750745378652,57.30427764326068
