split,imagen,tipo,idx,area,bucket,n_solapan,cobertura,detectada
test,Img_230.tif,pred,17,166.5,,1,88.96420721376043,True
test,Img_230.tif,pred,18,139.5,,1,84.88349572850879,True
test,Img_230.tif,pred,19,378.5,,1,79.84557762327438,True
test,Img_230.tif,pred,20,124.0,,1,80.9430069467673,True
test,Img_230.tif,pred,21,63.0,,1,63.52389750941858,True
test,Img_230.tif,pred,22,122.0,,1,74.69203599335631,True
test,Img_230.tif,pred,23,82.5,,1,84.05090956871396,True
test,Img_230.tif,pred,24,69.0,,1,76.61146707250174,True
test,Img_235.tif,gt,0,2778.501183983617,large,1,98.45242030423334,True
test,Img_235.tif,gt,1,1014.5033118474248,medium,1,98.07771785626613,True
test,Img_235.tif,gt,2,154.50206403788775,small,1,86.48731057737113,True
test,Img_235.tif,gt,3,2521.501824292863,large,1,97.72957656528145,True
test,Img_235.tif,gt,4,1296.4968959057915,large,1,96.68359252134235,True
test,Img_235.tif,gt,5,1420.4977121484799,large,1,97.93221714265955,True
test,Img_235.tif,gt,6,1124.5024479539193,medium,1,96.66531840548485,True
test,Img_235.tif,gt,7,164.49910398566394,small,1,91.48943206952237,True
test,Img_235.tif,gt,8,2223.5041281617932,large,1,97.06525428169415,True
test,Img_235.tif,gt,9,323.50193585561624,medium,1,83.55876423218626,True
test,Img_235.tif,gt,10,1421.5038559518714,large,1,94.69729500462618,True
test,Img_235.tif,gt,11,135.50360021811198,small,0,0.0,False
test,Img_235.tif,gt,12,512.4994719416319,medium,2,85.51213646197876,True
test,Img_235.tif,gt,13,1021.5093597327356,medium,1,98.70890463228132,True
test,Img_235.tif,gt,14,208.5018720296951,medium,1,89.74755679719067,True
test,Img_235.tif,gt,15,134.498239762432,small,1,85.87308803613199,True
test,Img_235.tif,gt,16,566.4975998402562,medium,1,96.63535449157375,True
test,Img_235.tif,gt,17,2027.5036800901125,large,1,96.7046477427344,True
test,Img_235.tif,gt,18,847.4982562529277,medium,1,98.28892342754936,True
test,Img_235.tif,gt,19,653.5029280460798,medium,1,91.67900772694146,True
test,Img_235.tif,gt,20,177.4988959457282,small,1,88.38082233853447,True
test,Img_235.tif,gt,21,2219.5003841167345,large,1,97.547292875022,True
test,Img_235.tif,gt,22,78.49891194879996,small,0,0.0,False
test,Img_235.tif,gt,23,392.49937583718446,medium,1,90.82810058951698,True
test,Img_235.tif,gt,24,131.5000800583676,small,1,93.44054544260423,True
test,Img_235.tif,pred,0,1432.0,,1,96.68359252134238,True
test,Img_235.tif,pred,1,2976.5,,1,98.45242030423329,True
test,Img_235.tif,pred,2,1117.5,,1,98.07771785626615,True
test,Img_235.tif,pred,3,2303.0,,1,97.54729287502205,True
test,Img_235.tif,pred,4,1182.5,,1,96.66531840548485,True
test,Img_235.tif,pred,5,2501.0,,1,97.06525428169411,True
test,Img_235.tif,pred,6,2165.0,,1,96.70464774273432,True
test,Img_235.tif,pred,7,406.0,,1,90.82810058951704,True
test,Img_235.tif,pred,8,1518.5,,1,97.93221714265957,True
test,Img_235.tif,pred,9,677.0,,1,96.63535449157375,True
test,Img_235.tif,pred,10,913.5,,1,98.28892342754936,True
test,Img_235.tif,pred,11,654.0,,1,91.67900772694152,True
test,Img_235.tif,pred,12,2694.0,,1,97.72957656528153,True
test,Img_235.tif,pred,13,2647.5,,2,96.3746894435651,True
test,Img_235.tif,pred,14,324.5,,1,83.5587642321862,True
test,Img_235.tif,pred,15,181.5,,1,88.38082233853444,True
test,Img_235.tif,pred,16,184.5,,1,91.48943206952241,True
test,Img_235.tif,pred,17,130.5,,1,85.87308803613197,True
test,Img_235.tif,pred,18,260.0,,1,44.58519322380885,False
test,Img_235.tif,pred,19,237.5,,1,89.74755679719068,True
test,Img_235.tif,pred,20,155.5,,1,93.44054544260419,True
test,Img_235.tif,pred,21,241.5,,1,41.70743184723045,False
test,Img_235.tif,pred,22,157.0,,1,86.48731057737116,True
test,Img_256.tif,gt,0,427.752479995904,medium,1,96.1131558976277,True
test,Img_256.tif,gt,1,1160.4980639866874,large,1,98.24955191412164,True
test,Img_256.tif,gt,2,143.49977602867202,small,1,74.47756846871614,True
test,Img_256.tif,gt,3,705.5034400010238,medium,1,94.64003803420347,True
test,Img_256.tif,gt,4,225.49801600614376,medium,1,96.06428820392375,True
test,Img_256.tif,gt,5,150.49943992115195,small,1,78.4059901054765,True
test,Img_256.tif,gt,6,283.4984319426561,medium,1,83.4434455994546,True
test,Img_256.tif,gt,7,219.50292811775975,medium,1,89.97643618308902,True
test,Img_256.tif,gt,8,184.5007999959039,small,1,97.15411094598862,True
test,Img_256.tif,gt,9,593.5010881085439,medium,1,87.44698103849971,True
test,Img_256.tif,gt,10,91.50295993753582,small,0,0.0,False
test,Img_256.tif,gt,11,907.4983040040962,medium,1,94.82111559854255,True
test,Img_256.tif,pred,0,1287.5,,1,98.24955191412154,True
test,Img_256.tif,pred,1,939.0,,1,94.82111559854258,True
test,Img_256.tif,pred,2,583.0,,1,87.44698103849976,True
test,Img_256.tif,pred,3,739.5,,1,94.64003803420343,True
test,Img_256.tif,pred,4,109.5,,1,74.47756846871614,True
test,Img_256.tif,pred,5,275.5,,1,83.4434455994546,True
test,Img_256.tif,pred,6,487.0,,1,96.11315589762772,True
test,Img_256.tif,pred,7,252.5,,1,96.06428820392372,True
test,Img_256.tif,pred,8,217.0,,1,97.15411094598853,True
test,Img_256.tif,pred,9,245.0,,1,89.97643618308906,True
test,Img_256.tif,pred,10,125.0,,1,78.40599010547652,True
test,Img_268.tif,gt,0,592.1279439953917,medium,1,95.32406395047772,True
test,Img_268.tif,gt,1,803.2558239498238,medium,0,0.0,False
test,Img_268.tif,gt,2,9169.249199624184,large,1,97.90468262149165,True
test,Img_268.tif,gt,3,8453.501999767554,large,1,98.77489149297695,True
test,Img_268.tif,gt,4,19412.496447891466,large,1,98.44591237854003,True
test,Img_268.tif,gt,5,339.50022420070405,medium,1,99.92644715347807,True
test,Img_268.tif,pred,0,19891.0,,1,98.44591237854,True
test,Img_268.tif,pred,1,9135.0,,1,98.77489149297686,True
test,Img_268.tif,pred,2,649.0,,1,95.32406395047772,True
test,Img_268.tif,pred,3,9110.0,,1,97.90468262149165,True
test,Img_268.tif,pred,4,503.0,,1,99.92644715347811,True
test,Img_272.tif,gt,0,592.62440781824,medium,1,93.81975504763743,True
test,Img_272.tif,gt,1,3289.7486880563174,large,1,95.18770109354304,True
test,Img_272.tif,gt,2,387.74875199692815,medium,1,76.87030386235095,True
test,Img_272.tif,gt,3,264.49996812287986,medium,0,0.0,False
test,Img_272.tif,gt,4,63.49959996620807,small,0,0.0,False
test,Img_272.tif,gt,5,298.2530399887361,medium,1,89.14467258949557,True
test,Img_272.tif,gt,6,114.50247997439995,small,1,0.2183079362821524,False
test,Img_272.tif,gt,7,636.5026399334403,medium,0,0.0,False
test,Img_272.tif,gt,8,1560.7542879559685,large,1,93.56879319758549,True
test,Img_272.tif,gt,9,1456.49948788736,large,1,94.64475142214025,True
test,Img_272.tif,gt,10,308.5027361669116,medium,1,87.17544333950752,True
test,Img_272.tif,gt,11,1493.4945278525438,large,1,95.50148709332043,True
test,Img_272.tif,gt,12,380.49867193139164,medium,1,94.2510411548203,True
test,Img_272.tif,gt,13,470.5033920634872,medium,1,95.61609110872976,True
test,Img_272.tif,pred,0,3264.5,,1,95.18770109354315,True
test,Img_272.tif,pred,1,528.0,,1,95.61609110872978,True
test,Img_272.tif,pred,2,1605.0,,1,95.50148709332045,True
test,Img_272.tif,pred,3,315.0,,1,87.1754433395075,True
test,Img_272.tif,pred,4,620.0,,1,93.81975504763751,True
test,Img_272.tif,pred,5,1549.0,,1,93.5687931975855,True
test,Img_272.tif,pred,6,439.5,,1,94.25104115482024,True
test,Img_272.tif,pred,7,1468.5,,1,94.64475142214022,True
test,Img_272.tif,pred,8,331.5,,1,76.87030386235097,True
test,Img_272.tif,pred,9,303.0,,2,64.4756159798828,True
test,Img_285.tif,gt,0,760.5011040255997,medium,1,91.0420842534735,True
test,Img_285.tif,gt,1,95.50323190374405,small,1,99.214367918552,True
test,Img_285.tif,gt,2,1025.5036960788475,medium,1,97.95210254797252,True
test,Img_285.tif,gt,3,606.5005441904643,medium,1,98.70176799206027,True
test,Img_285.tif,gt,4,99.50003199180806,small,1,87.9385767238546,True
test,Img_285.tif,gt,5,48.50084804812793,small,1,85.56640472833523,True
test,Img_285.tif,gt,6,383.49963205836804,medium,1,96.70782469972119,True
test,Img_285.tif,gt,7,553.500943980544,medium,1,93.811947684829,True
test,Img_285.tif,gt,8,107.50180804607997,small,1,92.20888264458067,True
test,Img_285.tif,gt,9,857.5057121361921,medium,1,98.80467640286969,True
test,Img_285.tif,gt,10,528.500224129024,medium,1,99.7634392683582,True
test,Img_285.tif,gt,11,584.4994399498239,medium,1,95.59445804298565,True
test,Img_285.tif,gt,12,211.4996959559681,medium,3,89.0366461849499,True
test,Img_285.tif,gt,13,91.49915208089602,small,1,99.18011042491818,True
