model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.25,IoU,278,1091,1493,20.306793279766254,15.697346132128743,17.707006369426754
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.25,S-IoU,292,1077,1047,21.32943754565376,21.807318894697538,21.56573116691285
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.3,IoU,278,1062,1493,20.746268656716417,15.697346132128743,17.8720668595307
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.3,S-IoU,289,1051,1054,21.567164179104477,21.518987341772153,21.54304882594111
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.4,IoU,273,1013,1498,21.228615863141524,15.41501976284585,17.860647693817466
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.4,S-IoU,284,1002,1068,22.08398133748056,21.005917159763314,21.531463229719485
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.5,IoU,268,978,1503,21.508828250401287,15.13269339356296,17.76599270798807
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.5,S-IoU,278,968,1084,22.31139646869984,20.411160058737153,21.319018404907972
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.6,IoU,264,953,1507,21.69268693508628,14.906832298136646,17.670682730923694
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.6,S-IoU,272,945,1102,22.35004108463435,19.7962154294032,20.995754534928597
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.7,IoU,261,920,1510,22.09991532599492,14.737436476566913,17.682926829268293
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.7,S-IoU,267,914,1122,22.60795935647756,19.222462203023756,20.77821011673152
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.8,IoU,252,876,1519,22.340425531914892,14.229249011857709,17.385305277681958
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.8,S-IoU,260,868,1156,23.04964539007092,18.361581920903955,20.440251572327046
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.9,IoU,235,756,1536,23.713420787083752,13.269339356295879,17.016654598117302
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.9,S-IoU,233,758,1243,23.511604439959637,15.785907859078591,18.889339278475884
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.05,IoU,589,216,101,73.16770186335404,85.3623188405797,78.79598662207357
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.05,S-IoU,524,281,32,65.09316770186335,94.24460431654677,77.00220426157239
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.1,IoU,584,145,106,80.10973936899863,84.63768115942028,82.31148696264977
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.1,S-IoU,506,223,37,69.41015089163237,93.18600368324125,79.55974842767294
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.2,IoU,577,101,113,85.10324483775811,83.6231884057971,84.35672514619883
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.2,S-IoU,497,181,42,73.30383480825958,92.20779220779221,81.67625308134757
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.25,IoU,572,93,118,86.01503759398497,82.89855072463767,84.42804428044279
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.25,S-IoU,494,171,46,74.28571428571429,91.48148148148148,81.99170124481327
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.3,IoU,565,86,125,86.78955453149003,81.88405797101449,84.26547352721848
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.3,S-IoU,488,163,52,74.96159754224271,90.37037037037037,81.94794290512175
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.4,IoU,554,77,136,87.79714738510302,80.28985507246377,83.87585162755488
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.4,S-IoU,479,152,61,75.91125198098257,88.70370370370371,81.81041844577285
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.5,IoU,550,68,140,88.9967637540453,79.71014492753623,84.09785932721712
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.5,S-IoU,474,144,67,76.69902912621359,87.61552680221811,81.79465056082829
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.6,IoU,541,59,149,90.16666666666666,78.40579710144927,83.87596899224805
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.6,S-IoU,471,129,78,78.5,85.79234972677595,81.98433420365535
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.7,IoU,531,55,159,90.61433447098976,76.95652173913044,83.22884012539186
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.7,S-IoU,466,120,90,79.5221843003413,83.81294964028777,81.61120840630474
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.8,IoU,521,45,169,92.04946996466431,75.5072463768116,82.96178343949045
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.8,S-IoU,458,108,101,80.91872791519434,81.9320214669052,81.42222222222222
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.9,IoU,498,39,192,92.73743016759776,72.17391304347827,81.17359413202935
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,50,0.9,S-IoU,445,92,125,82.86778398510242,78.0701754385965,80.39747064137308
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.05,IoU,459,346,231,57.018633540372676,66.52173913043478,61.40468227424749
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.05,S-IoU,434,371,67,53.91304347826087,86.62674650698602,66.4624808575804
